# 本项目补译的中文释义：词形(|分隔)	读音	释义
十	とお	十，十个
ブルジョア	ぶるじょあ	资产阶级；资产阶级的
ブルセラ	ぶるせら	（用于性挑逗的）女生旧校服、内衣等
ブルゾン	ぶるぞん	夹克衫（下摆收紧）
ブルネット	ぶるねっと	褐发（女子）
ブルペン	ぶるぺん	（棒球）牛棚，投手练习场
ブルーカラー	ぶるーからー	蓝领
ブルース	ぶるーす	蓝调音乐
ブルーバード	ぶるーばーど	青鸟
ブレイク	ぶれいく	休息；（比赛）中断；走红，爆红
ブレザー	ぶれざー	（西装式）夹克
ブレスト	ぶれすと	胸部；蛙泳
ブレスレット	ぶれすれっと	手镯
ブレッド	ぶれっど	面包
ブレンド	ぶれんど	混合，调配
ブレーカー	ぶれーかー	（电路）断路器
ブレード	ぶれーど	刀片，叶片
ブレーン	ぶれーん	智囊，参谋
ブロイラー	ぶろいらー	肉鸡
ブログ	ぶろぐ	博客
ブロッカー	ぶろっかー	拦网手；拦截器
ブロック	ぶろっく	块，块状物；街区；组，集团；（排球）拦网
ブロマイド	ぶろまいど	明星照片；溴化银相纸
ブロンズ	ぶろんず	青铜（色）
ブロー	ぶろー	吹（发型）；击打；吹奏（乐器）
ブローカー	ぶろーかー	经纪人，掮客
ブロード	ぶろーど	（棉布）府绸
分化	ぶんか	分化
文科	ぶんか	文科
文化遺産	ぶんかいさん	文化遗产
分科会	ぶんかかい	分组会，分会
文化勲章	ぶんかくんしょう	文化勋章
文化人	ぶんかじん	文化人
文化庁	ぶんかちょう	（日本）文化厅
分割	ぶんかつ	分割，分开
分割払い	ぶんかつばらい	分期付款
文化的	ぶんかてき	文化的
文学者	ぶんがくしゃ	文学家
分岐	ぶんき	分歧，分岔
分岐点	ぶんきてん	岔路口；分歧点，转折点
文教	ぶんきょう	文教
文具	ぶんぐ	文具
文系	ぶんけい	文科（类）
分権	ぶんけん	分权
文庫	ぶんこ	文库；（收藏）书库；袖珍本
分校	ぶんこう	分校
分冊	ぶんさつ	分册
分室	ぶんしつ	分部，分处
文相	ぶんしょう	（日本）文部大臣
分身	ぶんしん	化身，分身
分乗	ぶんじょう	分乘（车辆等）
分譲	ぶんじょう	分块出售（房地产）
文壇	ぶんだん	文坛
文中	ぶんちゅう	文中；文中年号
文通	ぶんつう	通信，书信往来
ブンド	ぶんど	债券；联盟
文筆	ぶんぴつ	写作，文笔
分泌	ぶんぴつ	分泌
分別	ぶんべつ	分类，区分
文民	ぶんみん	文职人员，平民
文面	ぶんめん	（信件等的）内容，文字内容
文楽	ぶんらく	文乐（日本传统木偶戏）
分立	ぶんりつ	分立，独立
ブーイング	ぶーいんぐ	嘘声，喝倒彩
ブーケ	ぶーけ	花束
ブース	ぶーす	展位，摊位
ブーメラン	ぶーめらん	回旋镖；三角泳裤
ブール	ぶーる	圆面包；法式滚球
プチ	ぷち	小，小型
プッシュ	ぷっしゅ	推，按；催促；推送
プッシュホン	ぷっしゅほん	按键电话
プライス	ぷらいす	价格
プライベート	ぷらいべーと	私人的，个人的；隐私
プライムタイム	ぷらいむたいむ	黄金时段
プライムレート	ぷらいむれーと	最优惠利率
プラカード	ぷらかーど	标语牌
プラグ	ぷらぐ	插头；插件；火花塞
プラグマティズム	ぷらぐまてぃずむ	实用主义
プラザ	ぷらざ	广场，商业中心
プラズマ	ぷらずま	等离子体
プラチナ	ぷらちな	铂金，白金
プラネタリウム	ぷらねたりうむ	天文馆
プラハ	ぷらは	布拉格
プラモデル	ぷらもでる	塑料模型
プランクトン	ぷらんくとん	浮游生物
プランタン	ぷらんたん	春天
プランター	ぷらんたー	花槽，种植箱
プラント	ぷらんと	（工业）成套设备，装置；植物
プランナー	ぷらんなー	策划人；游戏设计师
プランニング	ぷらんにんぐ	策划，规划
プリズム	ぷりずむ	棱镜
プリティ	ぷりてぃ	漂亮的，可爱的
プリン	ぷりん	布丁；（染发后）露出黑发根
プリンス	ぷりんす	王子
プリンセス	ぷりんせす	公主
プリンタ	ぷりんた	打印机
プリーツ	ぷりーつ	褶裥，褶子
プルトニウム	ぷるとにうむ	钚（Pu）
プルークボーゲン	ぷるーくぼーげん	（滑雪）犁式转弯
プレ	ぷれ	前，预
プレイ	ぷれい	游戏；比赛，玩
プレイガール	ぷれいがーる	玩乐女郎
プレイボーイ	ぷれいぼーい	花花公子
プレイヤー	ぷれいやー	（游戏、比赛）参与者，选手；播放器
プレイリスト	ぷれいりすと	播放列表
プレジデント	ぷれじでんと	总统，总裁
プレス	ぷれす	压，冲压；新闻界，媒体
プレスクラブ	ぷれすくらぶ	记者俱乐部
プレスセンター	ぷれすせんたー	新闻中心
プレスリリース	ぷれすりりーす	新闻稿
プレゼンテーション	ぷれぜんてーしょん	演示，报告
プレタポルテ	ぷれたぽるて	成衣，高级成衣
プレッシャー	ぷれっしゃー	压力
プレトリア	ぷれとりあ	比勒陀利亚
プレハブ	ぷれはぶ	预制装配式（建筑）
プレミアム	ぷれみあむ	溢价，附加费；高级的
プレリュード	ぷれりゅーど	前奏曲
プレーオフ	ぷれーおふ	附加赛，季后赛
プレート	ぷれーと	板，牌；（垒球）本垒；（地质）板块
プレーボール	ぷれーぼーる	（棒球）开球！比赛开始！
プレーン	ぷれーん	原味的，朴素的
プロジェクター	ぷろじぇくたー	投影仪
プロセッサー	ぷろせっさー	处理器
プロダクション	ぷろだくしょん	制作，制片；（艺人）经纪公司
プロダクト	ぷろだくと	产品
プロップジェット	ぷろっぷじぇっと	涡轮螺旋桨飞机
プロテスタント	ぷろてすたんと	新教徒
プロデューサー	ぷろでゅーさー	制片人，制作人
プロデュース	ぷろでゅーす	制作，制片；策划
プロパガンダ	ぷろぱがんだ	宣传，鼓动
プロパン	ぷろぱん	丙烷
プロパー	ぷろぱー	正规的，专职的；正价
プロフィール画像	ぷろふぃーるがぞう	头像，个人资料图片
プロペラ	ぷろぺら	螺旋桨
プロポーザル	ぷろぽーざる	提案，方案
プロポーズ	ぷろぽーず	求婚
プロモーション	ぷろもーしょん	促销，宣传推广
プロモーター	ぷろもーたー	推广人，赞助人
プロモート	ぷろもーと	宣传推广
プロ野球	ぷろやきゅう	职业棒球
プロレス	ぷろれす	职业摔跤
プロレタリア	ぷろれたりあ	无产阶级
プロンプター	ぷろんぷたー	提词器
プンプン	ぷんぷん	（气味）浓烈；怒气冲冲
プー太郎	ぷーたろー	无业游民，无所事事的人
へ	へ	向，朝；给
ヘア	へあ	头发；阴毛
ヘアケア	へあけあ	护发
ヘアスタイル	へあすたいる	发型
丙	へい	（天干）丙；第三位，丙等
平安	へいあん	平安；平安时代（794-1185）
兵員	へいいん	兵员，官兵人数
兵役	へいえき	兵役
陛下	へいか	陛下
併記	へいき	并列书写，一并记载
平均的	へいきんてき	平均的，一般的
併合	へいごう	合并
併殺	へいさつ	（棒球）双杀
兵舎	へいしゃ	兵营
平時	へいじ	平时，和平时期
平静	へいせい	平静，安静
併設	へいせつ	附设，并设
平地	へいち	平地
閉店	へいてん	（当日）打烊，停业；歇业
平年並み	へいねんなみ	与常年持平，接近常年水平
併発	へいはつ	并发
平方キロメートル	へいほうきろめーとる	平方公里
閉幕	へいまく	闭幕，落幕
平面	へいめん	平面
併用	へいよう	并用，同时使用
並立	へいりつ	并立
兵力	へいりょく	兵力
壁画	へきが	壁画
壁面	へきめん	墙面
ヘクタール	へくたーる	公顷
ヘクト	へくと	百（词头，10^2）
ヘザー	へざー	石楠色，灰紫色
へたくそ|下手くそ	へたくそ	笨拙，蹩脚
隔たり	へだたり	距离；隔阂，差距
隔て	へだて	隔阂，间隔；区别对待
ヘッジ	へっじ	（金融）对冲，套期保值
ヘッダー	へっだー	（文档、邮件的）页眉，页首
ヘッド	へっど	头，头部；首脑
ヘッドコーチ	へっどこーち	总教练
ヘッドホン	へっどほん	耳机（头戴式）
ヘッドライト	へっどらいと	前灯，车灯
ヘディング	へでぃんぐ	（文档等的）标题；（足球）头球
ヘトヘト	へとへと	筋疲力尽
ヘドロ	へどろ	污泥，淤泥
ヘビー	へびー	重的，沉重的
ヘビースモーカー	へびーすもーかー	烟瘾很大的人
ヘブライズム	へぶらいずむ	希伯来主义
ヘム	へむ	（衣物）卷边，贴边
ヘモグロビン	へもぐろびん	血红蛋白
へら|箆	へら	刮铲，刮刀；描图用薄片；鲫鱼（人工养殖）
ヘラルド	へらるど	先驱，先声（报纸名或象征）
ヘリ	へり	直升机
ヘリウム	へりうむ	氦（He）
ヘリポート	へりぽーと	直升机停机坪
ヘリンボーン	へりんぼーん	人字纹
ヘル	へる	地狱
ヘルシンキ	へるしんき	赫尔辛基
ヘルス	へるす	健康；（隐语）色情按摩店
ヘルスクラブ	へるすくらぶ	健身俱乐部
ヘルツ	へるつ	赫兹（频率单位）
ヘルツェゴビナ	へるつぇごびな	黑塞哥维那
ヘルニア	へるにあ	疝气，椎间盘突出
ヘルパー	へるぱー	护理员，助手
ヘルメット	へるめっと	头盔，安全帽
ヘレニズム	へれにずむ	希腊化文明
ヘロイン	へろいん	海洛因
編	へん	编，编辑；篇，卷
変移	へんい	变迁，变化
変化球	へんかきゅう	（棒球）变化球，曲线球
偏狭	へんきょう	狭隘，偏狭
辺境	へんきょう	边境，边远地区
偏向	へんこう	偏向，倾向；偏转
変更届	へんこうとどけ	变更申报（表）
偏差値	へんさち	偏差值（日本学力测评标准分）
変質	へんしつ	变质，变性
編者	へんしゃ	编者，编辑者
編集者	へんしゅうしゃ	编辑
偏食	へんしょく	偏食
変人	へんじん	怪人，怪癖的人
返送	へんそう	送回，退回
変則	へんそく	不规则，反常
変造	へんぞう	（票据、文件等）伪造，变造
変態	へんたい	变态；（生物）变态发育
辺地	へんち	偏僻地方
編著	へんちょ	编著
編入	へんにゅう	编入，插班
遍歴	へんれき	游历，遍历；（丰富的）经历
ベア	べあ	基本工资上调
ベアリング	べありんぐ	轴承
米	べい	美国，美洲
米価	べいか	米价
米軍	べいぐん	美军
米穀	べいこく	稻米，米谷
米人	べいじん	美国人
米飯	べいはん	米饭
ベイルート	べいるーと	贝鲁特
ベオグラード	べおぐらーど	贝尔格莱德
べき|可き	べき	应该，应当
べきでは無い	べきではない	不应该，不可以
ベクター	べくたー	向量；（疾病）媒介
ベクトル	べくとる	矢量，向量；方向，取向
ベジタブル	べじたぶる	蔬菜
ベストテン	べすとてん	十大，前十名
ベタ	べた	斗鱼
ベタベタ	べたべた	黏糊糊；厚厚地涂（贴）满
ベター	べたー	更好，较好
別館	べっかん	别馆，附楼
別個	べっこ	另外的，别的
別冊	べっさつ	别册，附册
別室	べっしつ	另一房间，单独的房间
別表	べっぴょう	附表
別院	べついん	别院（分寺）
別棟	べつむね	另一栋建筑，附属房屋
別問題	べつもんだい	另一回事
ベドウィン	べどうぃん	贝都因人
ベニヤ	べにや	单板，胶合板
ベニヤ板	べにやいた	胶合板
ベネチアングラス	べねちあんぐらす	威尼斯玻璃
ベネフィット	べねふぃっと	利益，好处
ベビーシッター	べびーしったー	婴幼儿看护，保姆
ベビーフード	べびーふーど	婴儿食品
ベリーダンス	べりーだんす	肚皮舞
ベルギー|白耳義	べるぎー	比利时
ベルトコンベア	べるとこんべあ	传送带，皮带输送机
ベルファスト	べるふぁすと	贝尔法斯特
ベルマーク	べるまーく	铃标（可兑换文具的商品标志）
ベルモット	べるもっと	味美思酒
ベレー	べれー	贝雷帽
ベロ	べろ	舌头；（鞋、信封的）舌片
弁	べん	口才，能言善辩
勉学	べんがく	勤学，求学
勉強中	べんきょうちゅう	学习中
弁慶	べんけい	强壮之人；逞强好胜的人；格纹（弁庆格）
弁護人	べんごにん	辩护人，律师
弁済	べんさい	偿还，清偿
ベンジン	べんじん	汽油
弁舌	べんぜつ	口才，辩才
ベンチャー	べんちゃー	风险企业，创业公司
弁務官	べんむかん	专员，特派员
ベーコン	べーこん	培根
ベーシック	べーしっく	基本的
ベージュ	べーじゅ	米色，浅褐色
ベースアップ	べーすあっぷ	基本工资上调
ベースキャンプ	べーすきゃんぷ	大本营
Β	べーた	贝塔（希腊字母β）
ベートーヴェン	べーとーゔぇん	贝多芬
ベール	べーる	面纱，面罩
ペアリング	ぺありんぐ	情侣戒指
ペイ	ぺい	薪水，工资；划算，值得
ペインクリニック	ぺいんくりにっく	疼痛门诊
ペイント	ぺいんと	油漆，涂料
ペシミスティック	ぺしみすてぃっく	悲观的
ペスト	ぺすと	鼠疫
ペダル	ぺだる	踏板
ペッサリー	ぺっさりー	子宫帽（避孕用具）
ペドメーター	ぺどめーたー	计步器
ペナルティー	ぺなるてぃー	处罚，罚则
ペナント	ぺなんと	三角旗，锦标旗
ペニシリン	ぺにしりん	青霉素
ペプシン	ぺぷしん	胃蛋白酶
ペリカン	ぺりかん	鹈鹕
ペルー|秘露	ぺるー	秘鲁
番瀝青	ぺんき	油漆
ペンギン	ぺんぎん	企鹅
ペンクラブ	ぺんくらぶ	笔会（国际作家组织）
ペン先	ぺんさき	笔尖
ペンション	ぺんしょん	西式民宿，家庭旅馆
ペンシルベニア	ぺんしるべにあ	宾夕法尼亚
ペンタゴン	ぺんたごん	五角大楼；五边形
ペンダント	ぺんだんと	吊坠；吊灯
ペンネーム	ぺんねーむ	笔名
ペース	ぺーす	步调，速度
ペースメーカー	ぺーすめーかー	心脏起搏器；领跑者
ペーソス	ぺーそす	悲怆，哀愁感
ペーパー	ぺーぱー	纸，纸张；论文
ペール	ぺーる	浅色的，淡的
帆	ほ	帆
舗	ほ	铺，店铺
歩	ほ	步，步伐
保安	ほあん	保安，治安
保育園	ほいくえん	幼儿园，托儿所
保育所	ほいくしょ	托儿所
ホイッスル	ほいっする	哨子，哨声
ホイール	ほいーる	车轮，轮子
報	ほう	报道，消息；报答
砲	ほう	炮，火炮
包囲	ほうい	包围
法医学	ほういがく	法医学
放映	ほうえい	播映，播放
法王	ほうおう	教皇；佛
訪欧	ほうおう	访欧
砲火	ほうか	炮火
放課後	ほうかご	放学后
包括	ほうかつ	包括，概括
邦画	ほうが	日本电影；日本画
萌芽	ほうが	萌芽
法外	ほうがい	过分，离谱
方がいい	ほうがいい	最好……，还是……为好
邦楽	ほうがく	日本音乐（尤指传统音乐）
法学部	ほうがくぶ	法学院，法律系
包含	ほうがん	包含，含有
俸給	ほうきゅう	俸禄，薪俸
豊胸	ほうきょう	丰胸
封建主義	ほうけんしゅぎ	封建主义
封建的	ほうけんてき	封建的
砲撃	ほうげき	炮击，轰击
宝庫	ほうこ	宝库
奉公	ほうこう	当佣工，服侍；效忠，服务
芳香	ほうこう	芳香
方向音痴	ほうこうおんち	方向感差（的人），路痴
法師	ほうし	法师，僧人
胞子	ほうし	孢子
放射性	ほうしゃせい	放射性
放射線	ほうしゃせん	放射线
褒賞	ほうしょう	奖赏，褒奖
法相	ほうしょう	（日本）法务大臣
報奨金	ほうしょうきん	奖金，酬金
飽食	ほうしょく	饱食，吃饱
宝飾	ほうしょく	珠宝首饰
邦人	ほうじん	（旅居海外的）日本人，同胞
放水	ほうすい	放水，排水；喷水
法制	ほうせい	法制
縫製	ほうせい	缝制
法制局	ほうせいきょく	（日本内阁）法制局
放送	ほうそう	广播，播放
法曹	ほうそう	司法界人士，法律工作者
法曹界	ほうそうかい	司法界
放題	ほうだい	随意，无限量（多接动词连用形）
砲弾	ほうだん	炮弹
放逐	ほうちく	放逐，驱逐
法治国	ほうちこく	法治国家
訪中	ほうちゅう	访华
法定	ほうてい	法定的
法的	ほうてき	法律上的
報道機関	ほうどうきかん	新闻机构，媒体
報道陣	ほうどうじん	记者团，新闻界
訪日	ほうにち	访日
豊年	ほうねん	丰年
奉納	ほうのう	奉纳，供奉
抱負	ほうふ	抱负，志向
報復	ほうふく	报复，反击
法文	ほうぶん	法律条文
砲兵	ほうへい	炮兵
訪米	ほうべい	访美
方法論	ほうほうろん	方法论
放牧	ほうぼく	放牧
豊満	ほうまん	丰满，丰腴
法務	ほうむ	法务，司法事务
訪問者	ほうもんしゃ	访问者，来访者
抱擁	ほうよう	拥抱
法要	ほうよう	（佛教）法事，法会
包容力	ほうようりょく	包容力，度量
崩落	ほうらく	崩塌，塌陷；暴跌
法律事務所	ほうりつじむしょ	律师事务所
放流	ほうりゅう	放水（泄洪）；放鱼苗，放生
豊漁	ほうりょう	大丰收（渔业），渔获丰盛
法令	ほうれい	法令
ほうれん草	ほうれんそう	菠菜
放浪	ほうろう	流浪，漂泊
保革	ほかく	保守派与革新派
他に	ほかに	另外，此外
ほかにも|他にも	ほかにも	此外还有
補完	ほかん	补充，补全
北緯	ほくい	北纬
北欧	ほくおう	北欧
北上	ほくじょう	北上
北端	ほくたん	最北端
北部	ほくぶ	北部
北米	ほくべい	北美
北北東	ほくほくとう	北北东
北陸	ほくりく	北陆地区（日本本州）
ほくろ|黒子	ほくろ	痣
補欠	ほけつ	递补，候补
保険金	ほけんきん	保险金
保健所	ほけんじょ	保健所，卫生所
保健婦	ほけんふ	（女）保健护士
矛	ほこ	矛，长矛
歩行	ほこう	步行，行走
歩行者天国	ほこうしゃてんごく	步行街（禁止车辆通行区）
矛先	ほこさき	矛头，矛尖；（攻击、批评的）矛头
保護者	ほごしゃ	监护人，家长
補佐	ほさ	辅佐，协助（者）
星占い	ほしうらない	占星术
欲しがる	ほしがる	想要，渴望
星空	ほしぞら	星空
捕手	ほしゅ	（棒球）捕手
保守党	ほしゅとう	保守党
保証金	ほしょうきん	押金，保证金
保証付き	ほしょうつき	附有保证的
保証人	ほしょうにん	保证人，担保人
保持	ほじ	保持，维持
ホステル	ほすてる	青年旅舍
ホスト	ほすと	主人，主办方；男公关
ホスピス	ほすぴす	临终关怀医院
保する	ほする	保证，担保
補正	ほせい	修正，校正
補正予算	ほせいよさん	（追加）修正预算
保全	ほぜん	保全，维护
細々	ほそぼそ	勉强维持，苟延；细细的
細る	ほそる	变细，变瘦；（收入等）减少
ほたる|蛍	ほたる	萤火虫
補聴器	ほちょうき	助听器
北海	ほっかい	北方海域；北海
北海道開発庁長官	ほっかいどうかいはつちょうちょうかん	（日本）北海道开发厅长官
発起人	ほっきにん	发起人
北極圏	ほっきょくけん	北极圈
ホック	ほっく	（衣物上的）钩扣，按扣
ホッケー	ほっけー	曲棍球
欲する	ほっする	想要，渴望
発端	ほったん	起因，开端
ホット	ほっと	热的；热咖啡
ほっといて	ほっといて	别管我！随它去！
ほっといてくれ	ほっといてくれ	别管我！随它去！
ホットライン	ほっとらいん	热线电话
ホップ	ほっぷ	单脚跳，蹦跳；啤酒花
北方	ほっぽう	北方
歩道橋	ほどうきょう	天桥，人行天桥
ほどなく|程なく	ほどなく	不久，很快
骨抜き	ほねぬき	剔骨，去骨；（计划等）被削弱，抽掉核心内容
ほのめかす|仄めかす	ほのめかす	暗示，透露
ホノルル	ほのるる	火奴鲁鲁（檀香山）
歩兵	ほへい	步兵
保母	ほぼ	（女性）保育员
誉れ	ほまれ	荣誉，光荣
ホモ	ほも	同性恋（者）；同型的
保有	ほゆう	拥有，保有
保養所	ほようじょ	疗养所，休养所
ほら	ほら	看！瞧！
洞	ほら	洞，洞穴
洞穴	ほらあな	洞穴，山洞
堀江	ほりえ	运河
堀川	ほりかわ	运河
ホリデー	ほりでー	假日，节假日
保留	ほりゅう	保留，暂缓
ホルスター	ほるすたー	枪套
ホルダー	ほるだー	（物品的）夹，架，套；持有人
ホルン	ほるん	圆号
惚れる	ほれる	爱上，迷恋
ホログラフィ	ほろぐらふぃ	全息摄影术
ホロコースト	ほろこーすと	大屠杀
ホワイト	ほわいと	白色；修正液
ホワイトカラー	ほわいとからー	白领
ホワイトニング	ほわいとにんぐ	（牙齿）美白
翻案	ほんあん	改编
本位	ほんい	本位，标准
翻意	ほんい	回心转意，改变主意
本因坊	ほんいんぼう	本因坊（围棋名门称号）
本会議	ほんかいぎ	全体会议
本格化	ほんかくか	正式展开，步入正轨
本願	ほんがん	夙愿，宿愿；（佛教）本愿
本拠	ほんきょ	根据地，大本营
本業	ほんぎょう	主业，本行
本件	ほんけん	本案，此事
本校	ほんこう	本校
本腰	ほんごし	认真的态度，真劲
本山	ほんざん	（佛教）总寺院，本山
本旨	ほんし	主旨，本意
本紙	ほんし	（报纸）正刊；本报
本質的	ほんしつてき	本质的，实质性的
本書	ほんしょ	本书；正文
本省	ほんしょう	（日本中央政府）本部
本性	ほんしょう	本性，本来面目
本職	ほんしょく	本职，主业；内行，专业人士
本数	ほんすう	（长条物、车次等的）数量
本籍	ほんせき	原籍，户籍所在地
本線	ほんせん	干线，主干线
奔走	ほんそう	奔走，奔波
本尊	ほんぞん	（寺庙的）本尊像；本人
本隊	ほんたい	主力部队
本題	ほんだい	正题，主题
本朝	ほんちょう	我国（指日本），本朝
本島	ほんとう	本岛
本土	ほんど	本土
本堂	ほんどう	（寺院）正殿
本年	ほんねん	本年，今年
ほんの少し	ほんのすこし	一点点，仅仅一点
ほんのり	ほんのり	微微，淡淡地
ほんの～	ほんの～	不过是，仅仅是
本箱	ほんばこ	书箱，书柜
本番	ほんばん	正式演出（拍摄等）；实战
奔放	ほんぽう	奔放，不受拘束
本命	ほんめい	最有希望获胜者，头号人选；心仪对象
本予算	ほんよさん	正式预算，本预算
本欄	ほんらん	本栏目
本流	ほんりゅう	主流（河流）；（思想等）主流
本領	ほんりょう	本领，特长
本塁	ほんるい	（棒球）本垒
本塁打	ほんるいだ	（棒球）本垒打，全垒打
翻弄	ほんろう	玩弄，摆布
ホープ	ほーぷ	希望，希望之星
ホーマー	ほーまー	（棒球）本垒打
ホーミング	ほーみんぐ	自动导向，寻的
ホームイン	ほーむいん	（棒球）跑回本垒得分
ホームグラウンド	ほーむぐらうんど	主场；常去的地方
ホームセキュリティ	ほーむせきゅりてぃ	家庭安防系统
ホームターミナル	ほーむたーみなる	家用终端
ホームドラマ	ほーむどらま	家庭伦理剧
ホームヘルパー	ほーむへるぱー	家庭护理员
ホームラン	ほーむらん	（棒球）本垒打，全垒打
ホームルーム	ほーむるーむ	班会（时间）
ホーン	ほーん	喇叭，号角
ボイジャー	ぼいじゃー	旅行者号（探测器）
ボイス	ぼいす	声音
ボイスレコーダー	ぼいすれこーだー	录音机；驾驶舱语音记录仪
ボイラー	ぼいらー	锅炉
母音	ぼいん	元音
某	ぼう	某，某某
防衛施設庁	ぼうえいしせつちょう	（日本）防卫设施厅
防衛庁	ぼうえいちょう	（日本）防卫厅
防疫	ぼうえき	防疫
防音	ぼうおん	隔音，防音
傍観	ぼうかん	旁观，袖手旁观
忘却	ぼうきゃく	忘却，遗忘
暴挙	ぼうきょ	暴行，蛮干
暴虐	ぼうぎゃく	暴虐
防御	ぼうぎょ	防御，防护
防空	ぼうくう	防空
防護	ぼうご	防护，保护
防災	ぼうさい	防灾
紡織	ぼうしょく	纺织
傍受	ぼうじゅ	窃听，监听
防水	ぼうすい	防水
防戦	ぼうせん	防御战，守势作战
暴走	ぼうそう	横冲直撞，胡来；（车辆等）失控
棒立ち	ぼうだち	呆立，僵立
防弾	ぼうだん	防弹
傍聴	ぼうちょう	旁听
暴徒	ぼうと	暴徒
暴騰	ぼうとう	暴涨，猛涨
防波堤	ぼうはてい	防波堤
防犯カメラ	ぼうはんかめら	监控摄像头
亡父	ぼうふ	亡父
亡夫	ぼうふ	亡夫
亡命	ぼうめい	亡命，流亡
謀略	ぼうりゃく	谋略，阴谋
暴力団	ぼうりょくだん	黑帮，暴力团伙
ボウリング	ぼうりんぐ	保龄球
ボウル	ぼうる	碗，钵
亡霊	ぼうれい	亡灵，幽灵
防～	ぼう～	防……
ぼかす|暈す	ぼかす	使模糊，晕染；含糊其辞
簿記	ぼき	簿记
ボギー	ぼぎー	（高尔夫）柏忌
ボクサー	ぼくさー	拳击手；拳师犬
ボクシング	ぼくしんぐ	拳击
牧草	ぼくそう	牧草
僕たち	ぼくたち	我们
撲滅	ぼくめつ	扑灭，根除
牧野	ぼくや	牧场
僕ら	ぼくら	我们
ぼけ|惚け	ぼけ	糊涂，痴呆；（相声）装傻角色
墓穴	ぼけつ	墓穴
ぼける|呆ける	ぼける	变糊涂，痴呆；（图像等）模糊
母国語	ぼこくご	母语
ボコーダー	ぼこーだー	声码器
菩薩	ぼさつ	菩萨
ボサノバ	ぼさのば	波萨诺瓦（巴西音乐）
母子	ぼし	母子
ボス	ぼす	头目，老大；（游戏）头目怪
ボストン	ぼすとん	波士顿
ボスニア	ぼすにあ	波斯尼亚
母性	ぼせい	母性
墓石	ぼせき	墓碑
母体	ぼたい	母体；母公司，母机构
母胎	ぼたい	母胎，子宫；母体，根基
勃起	ぼっき	勃起
ボックス	ぼっくす	盒，箱；（棒球）打击区；（剧场）包厢
没	ぼつ	死；（稿件等）被否决，不予采用
没後	ぼつご	死后
ボツワナ	ぼつわな	博茨瓦纳
ボディコン	ぼでぃこん	紧身性感（服装）
ボディー	ぼでぃー	身体；（拳击）躯干打击
ボディーブロー	ぼでぃーぶろー	（拳击）躯干打击
ボトム	ぼとむ	底部；下装（裤子、裙子等）
母乳	ぼにゅう	母乳
ボブ	ぼぶ	波波头（短发）
ボブスレー	ぼぶすれー	雪橇（有舵雪车）
ぼや|小火	ぼや	小火，小型火灾
ボルテージ	ぼるてーじ	电压；（情绪）高涨程度
ボレロ	ぼれろ	波列罗舞（曲）；短外套
ボレー	ぼれー	（球类）截击，凌空抽击
ボロボロ	ぼろぼろ	破烂不堪，破旧
ボン	ぼん	好，行（俗语）
凡	ぼん	平凡，普通
盆踊り	ぼんおどり	盂兰盆舞
盆栽	ぼんさい	盆栽
凡人	ぼんじん	凡人，普通人
ボンド	ぼんど	粘合剂，胶水；债券
ボンネット	ぼんねっと	（汽车）引擎盖；女帽
煩悩	ぼんのう	烦恼（佛教语，指世俗欲念）
ボンベ	ぼんべ	（压缩气体）钢瓶
凡庸	ぼんよう	平庸，庸碌
ボー	ぼー	弓；蝴蝶结
ボーイスカウト	ぼーいすかうと	童子军
ボーイフレンド	ぼーいふれんど	男朋友
ボーイング	ぼーいんぐ	（弦乐器）运弓
ボーカラー	ぼーからー	蝴蝶结衣领
ボーカリスト	ぼーかりすと	主唱，歌手
ボーカル	ぼーかる	（乐队）主唱，声乐部分
ボーク	ぼーく	（棒球）投手犯规
ボーダー	ぼーだー	边界，边境；条纹（图案）
ボーダーライン	ぼーだーらいん	分界线，临界线
ぼーっと	ぼーっと	发呆，恍惚
ボートピープル	ぼーとぴーぷる	船民，乘船逃难的难民
ボード	ぼーど	板，木板
ボードセーリング	ぼーどせーりんぐ	帆板运动
ボールド	ぼーるど	粗体
ボーン	ぼーん	骨；（乐器）伸缩长号
ポエム	ぽえむ	诗
ぽかん	ぽかん	发呆，目瞪口呆
ポケットサイズ	ぽけっとさいず	口袋大小的，便携式
ポケットベル	ぽけっとべる	寻呼机，BB机
ポケットマネー	ぽけっとまねー	零花钱
ポシェット	ぽしぇっと	小挎包
ポシビリティ	ぽしびりてぃ	可能性
ポジショニング	ぽじしょにんぐ	定位，站位
ポジティブ	ぽじてぃぶ	积极的，正面的
ポタポタ	ぽたぽた	滴答滴答（滴水声）
ポタージュ	ぽたーじゅ	浓汤
ポッドキャスト	ぽっどきゃすと	播客
ポップ	ぽっぷ	流行的，时髦的
ポップアート	ぽっぷあーと	波普艺术
ポップコーン	ぽっぷこーん	爆米花
ポップス	ぽっぷす	流行音乐
ポテト	ぽてと	土豆；炸薯条
ポテトチップス	ぽてとちっぷす	薯片
ポテンシャル	ぽてんしゃる	潜力，潜能
ポトフ	ぽとふ	法式蔬菜炖肉
ポニーテール	ぽにーてーる	马尾辫
ポプリ	ぽぷり	香薰花瓣（百花香）
ポリ	ぽり	聚……（聚乙烯等的略称）
ポリエチレン	ぽりえちれん	聚乙烯
ポリオ	ぽりお	脊髓灰质炎，小儿麻痹症
ポリス	ぽりす	警察
ポリネシア	ぽりねしあ	波利尼西亚
